id,X,Y
1,"Confusing and Confused Movie

Nicole Kidman is giving a performance in ""Babygirl"" that no doubt many
people will be calling ""brave,"" mostly because it suggests that women
over the age of 50 (gasp!) like to have sex and maybe even like to get
kinky once in a while.

She does give a good performance, and it's the movie's biggest selling
point. It's a shame that by the time the film is over her performance
has been diluted by a muddled screenplay that doesn't know what it wants
to say about gender dynamics or the sexual power play between men and
women. Maybe confusion is the point, because Kidman's character doesn't
completely know what she wants. She enjoys her place as a powerful
female leader in the professional world, but she also enjoys
relinquishing that power in the bedroom and giving into submissive
fantasies. But only up to a point -- submissiveness for women can
quickly veer into uncomfortable territory if taken too far by the man
they're with. Scary can be fun, but after a certain line is crossed,
scary is just scary.

I applaud a film that's honest about female sexuality, but I wish the
topic had been given a better movie than this.

Grade: B.",6
2,"Spoilers: Took me a couple of days to understand the ending and the
twist",6
3,"This Baby Has Some Growing Up To Do

A lot has been said about Babygirl, mostly involving Kidman's
performance. The remainder of chatter has been about the uniqueness of
its story and how it pushes boundaries around this topic. Unfortunately
I have issues with both of those talking points: yes, Kidman does push
herself to new territory she has not necessarily been to before as an
actor, but it's really just her very personal artistic growth but not
one the audience actually shares in. This story/script doesn't really
cover anything new. It's basically an older woman in power cheating on
her husband with a much younger man. I've seen this story numerous times
before and some of them were better told. Sure, their specific sexual
dynamic is not as common but it just all seemed so familiar. If it were
a lesser known actress in the lead novel one would be talking about
Babygirl, because it just doesn't warrant it. As for Kidman's
performance, she does nail the sex scenes quite well but otherwise her
character isn't that interesting and she's done much better work in
numerous other films.",5
4,"One of these comes around every decade

Fatal Attraction, 9 1/2 Weeks, Unfaithful, 50 Shades etc - one of these
moody, erotic films comes along about once a decade. Everyone either
gets off a little, clutches their pearls or sees it for it is - a sexual
fluff piece. They are almost always shot really gracefully and the
cinematography is also always on point. Fine acting and a smoking hot
couple for everyone in the audience to have a little something. The
difference here is the all woman collaboration which was probably a
really attractive draw for these actors - to see how this film in a
genre dominated by Adrian Lyne compares. I can't believe I'm going to
say this because I really enjoy her but I don't think Kidman was the
right casting for the lead. She's beautiful, aging beautifully and has
give some really good performances over the years - I didn't like this
one. And the dude is cute but a little creepy too. It was entertaining
and a little jaw dropping but the story and especially the ending was
really clunky.",6
5,"Tame erotica

What really carries this film are the two excellent central performances
from Nicole Kidman and Harris Dickinson. Without them, this film would
be entirely forgettable, particularly because this film doesn't really
break new ground in its genre and the plot is thin. Sophie Wilde and
Antonio Banderas are also good in their supporting roles. Kidman is
great in portraying a woman who wants to sink into her desires, but is
constantly conflicted in doing so.

The score, soundtrack, atmosphere, the costumes Kidman wears, and
cinematography all really elevate this film. The film feels very cold
and aloof, which is in keeping with our protagonist. As alluded to
earlier, the film's biggest issue is that the story is tenuous and not
really anything new. It's surprisingly tame for what it is. It almost
felt like the film was self-conscious and scared to really go there and
be prurient. But perhaps that was intentional, to mirror Romy's
reluctance to go there herself. While there is some nudity, it never
really feels sexy. Perhaps that was the director's intent though. While
sex scenes in erotic thrillers tend to be sexy, passionate, salacious,
almost fantastical, the sex scenes in this film feel very organic, and
even awkward at times. Between Romy and Samuel there are awkward
silences, confusions as to what to do next, insecurities about intimacy.
The result is that you feel like a fly on the wall. However, as a
viewer, that is both positive and negative. Positive because it feels
realistic, perhaps relatable. But negative because much of the film is
difficult to watch. What really would have elevated this film is
fleshing out Romy's past and her dark desires.

A nitpick I had with the film is regarding Samuel's tattoos. It felt
like he was a walking bad-boy stereotype; the tats felt a bit too
on-the-nose and obvious. Dickinson's presence alone was sufficient
enough to signal to the audience his dark, dominant interiority.
Dovetailing off of that point: while it was refreshing to see a power
dynamic in a film wherein the younger of the two parties has the power,
as it's typically portrayed as being the inverse, the abrupt jump from
new intern to a forbidden affair with his boss was jarring and
implausible, if we are to believe this film takes place in reality. But
the director's conceit here very well may be a heightened version of
reality, a fantasy.

That being said, the film is worth checking out, if only for the great
acting.",6
6,Another Film Vastly Overrated by Critics,4
7,Intriguing,7
8,"Complete waste of time!

I can't get over how much my husband and I did not like this movie.
There's nothing to it except too much of Nicole Kidman panting. The plot
is boring, scenes are drawn out, and there's no character development. I
didn't care what was going to happen and I thought it wasn't believable.
There's no way some young intern would behave the way he did and not get
fired. He was way too confident and weird. I really would just like my
money back and move on. Warning to anyone who's sensitive to
jumpy/blurry filming style, there's a lot of it. I had to close my eyes
sometimes to avoid getting a headache. Basically this was an entirely
forgettable movie.",1
9,"The film's ending is superficial and ludicrous

It's a drama about sexual fantasy and control set in December in modern
New York City. The family in question is 50-ish high-powered executive
Romy Mathis (Nicole Kidman), her Broadway play director husband, Jacob
(Antonio Banderas), and their two teenage daughters, Isabel (Esther
McGregor) and Nora (Vaughan Reilly). Romy is highly successful and
innovative at her job but sexually unsatisfied in her marriage.

Romy meets Samuel (Harris Dickinson), a 25-ish intern at her company,
who she is attracted to because of his assertive behavior. His behavior
and her fantasies collide in a relationship with predictable problems,
including Samuel also dating Romy's assistant, Esme (Sophie Wilde).
After things get out of control, there is climactic conflict and
resolution.

""Babygirl"" is a virtuoso Nicole Kidman performance. That's the best that
I can say for the film. Harris Dickinson is adequate as a manipulative
jerk, as is Antonio Banderas as a preoccupied husband. Esther McGregor
has a nice little subplot in the film. ""Babygirl"" is no feminist movie,
and there are no attractive characters. The film's ending is superficial
and ludicrous. The cinematography is creative at points, and the sex
scenes are not graphic. However, any ""truth"" in ""Babygirl"" is lost in
the unrealistic ending.",6
10,Sexy and thrilling? More like scary and uncomfortable.,3
11,"Not for those who don't understand kink

This film does a much better job at capturing the dynamics involved in
power exchange kinkiness than any other big box film ever made. For the
vanilla, who'll undoubtedly expect a love story: this is not for you.
Definitely NOT a film intended for the vanilla, nor the sexually
dissonant masses who'll likely only engage the film from a place of
prurience and confusion. This film does an amazing job of portraying the
nuances and and inculcated elements of self-denial so prevalent in
western societies. It seems self-evident that this is why the film is
met with low ratings by many viewers.

Kidman is clearly very invested in this role, and that makes the film
that much more enjoyable. Excellent and authentic casting that seemed
real and possible, rather that the fake Hollywood pairings that mass
consumers have unfortunately become accustomed to in films involving
couples.",9
